persona_id,stage_id,goal,action,channels,pains,emotion_value,emotion_value2,emotion_term,emotion_note,aha,data,voice,opportunities,tasks
P2,1,вернуть опору: «прежние ориентиры не работают».,перелом (выгорание/переезд/возраст/родительство 🟡); читает всё о смысле; YouTube «для души».,YouTube АО (фоном); Instagram школы.,психология и мотивация «не берут глубину»; «я одна с этими вопросами»; тревога эпохи. 🟢,-1,,Apprehension (тревога),"Её вход — не нейтральный, как у Дмитрия: перелом (выгорание, переезд, возраст). Тревога эпохи давит — минус уже на старте пути.",—,🔴 этап неизмерим в GA; запрос никак не поймать.,"🟢 R25: «Понять, почему мой опыт и события в мире вступили в такие жуткие противоречия».",контент под кризисные триггеры; SEO «смысл жизни / кризис 40» 🟡; родительский угол.,Контент-серия под триггеры перелома (SMM; CTR триггерных роликов в «дверь»).
P2,2,"понять, что за Школа у АО и есть ли там «путь глубже роликов».",видит анонс Школы в видео/описании канала; кликает ссылку из описания. 🟢,"YouTube (описание, анонс в ролике) → www. 🟢",в описании несколько ссылок без пояснений — «куда именно идти?»; ссылка иногда ведёт сразу в Circle. 🟢,0,,Interest,"Луч интереса сквозь тревогу: узнаёт о Школе случайно, слушала «для души». Ноль: интерес ещё не стал надеждой.",—,"🟢 YouTube — единственный сильный канал: 9,35% визит→подписка (vs ~5%); 🟢 «Элиты»: 3 ссылки без UTM; 🟢 Direct 43–46% не атрибутируется.","🟢 R8: «Будучи подписанным на канал несколько лет, я с большим интересом воспринял новость об открытии школы».",1 видео = 1 ссылка с UTM на посадочную www (не в Circle); анонс-связка «ролик → страница темы».,UTM-дисциплина всех ссылок канала. Владелец: SMM. Impact: высокий. Effort: низкий. Метрика: доля размеченных сессий; % Direct ↓. СТАТУС: в работе ✓
P2,3,"найти путь и проводника, а не «ещё один курс».",сканирует главную; открывает «Школа»/«курсы»; уходит «подумать» (мульти-визит). 🟢,"www: главная, страницы продуктов; мобильный. 🟢","сайт говорит терминами продуктов, а не её состояния. 🟡",1,,Optimism (надежда),"На сайте мелькает надежда «может, здесь мой путь». Плюс один, не выше: сайт говорит терминами продуктов, а не её состояния.",—,"🟢 LCP 5,7 с; dead clicks 8%; 95% визитов — без клика на подписку.","🟢 R22: «Кто-то же должен сделать всё как надо! Когда увидел Школу — понял, именно этого я искал».",экзистенциальная «дверь» на языке состояния; «Самопознание» на видное место (✓ сделано на стр. курсов).,"1) Перф-аудит Wix (Тарас; LCP < 2,5 с). 2) Квиз-роутер (Дизайн+Tech; % прошедших; CTR в дверь). СТАТУС: квиз = ФОКУС, концепты готовы."
P2,4,выбрать ГОТОВЫЙ путь: «ведите меня».,"сравнивает не с YouTube, а с терапией, ретритами, другими школами. 🟡","/course, тарифы, /samopoznanie. 🟢","«нужен готовый маршрут, а не конструктор». СТАТУС: «Самопознание» виден ✓; на странице нет захвата.",-1,,Annoyance,"«Мне нужен готовый маршрут, а не конструктор» — а её идеальный продукт («Самопознание») на сайте не находится. Досада поиска, не гнев.",MoT: «здесь есть готовый путь именно для моего состояния». 🟡,🟢 запуск маршрута = цель заказчика на сентябрь.,🟢 ушедшая №1: «Мне очень понравилась программа…» (интерес есть — ломается дальше).,квиз S1 «Насколько вы себя знаете?» на странице маршрута (ТЗ готово).,⭐ S1 на /samopoznanie (Дизайн + Tech + SMM; email ≥45% завершивших).
P2,5,"убедиться: «мне здесь будет бережно, я потяну».",перечитывает программу; ищет отзывы и «как внутри»; прикидывает время/деньги; откладывает.,"www, отзывы, соцдоказательства.",страх «слишком умно для меня»; страх темпа. 🟢,-1,,Apprehension,"«Потяну ли со своей загрузкой? Не слишком ли умно для меня?» Опасение за себя, а не претензия к школе — потому тревожный лепесток, не злой.",MoT: «мне будет бережно?» 🟡,🟢 мульти-визиты до покупки; 🔴 причины откладывания не измеряются.,"🟢 R13 (Q7): «поддержка тех, кто боится говорить вслух».","истории «таких же» (женщина-руководитель, врач); FAQ «сколько часов в неделю»; «можно просто слушать».",Видео-тур + блок «первые 2 недели» (Дизайн+SMM; конверсия страницы в чекаут). Отзывы из опроса — быстрая задача.
P2,6,"попробовать без риска; оставить контакт, «не продавая душу».",жмёт «подписаться»; начинает форму; бросает на середине. 🟢,форма Wix; переход в Circle-регистрацию.,формы и технические шаги — барьер (не технарь): «форма −92%» бьёт по ней сильнее всех. 🟡,-1,,Annoyance,"Формы и логины — реальный барьер: она не технарь. Провал формы (−92%) бьёт по ней сильнее всех, но винит она себя, не сервис — потому −1, а не −2.",—,🟢 form_start 529 → submit 41 (−92%); 🟢 лид-магнита нет (download 37); 🟢 «Элиты»: логин-стена отсекает новых.,🟢 ушедшая №4: «Не понравилась организация сайта и доступа к курсу».,квиз вместо формы (только email); лид-магнит «результат квиза + PDF»; автописьмо сразу.,⭐ ФОКУС: квиз + email-захват (концепты 3×2 + ТЗ S1 готовы). Владелец: Заказчик (выбор) + Дизайн + Tech + SMM. Метрика: form CR 8% → 30%+.
P2,7,дозреть безопасно: посмотреть на людей и тон.,читает письма-истории; приходит на открытое событие. 🟡,YouTube; email (почти пусто); повторные Direct-заходы.,между визитами Школа молчит — интерес остывает. 🟡,0,,Pensiveness,"Дозревает в раздумье: перечитывает письма и страницы, ждёт знака. Ноль — обдумывание без движения.",—,🟢 email-цепочки нет; 🟢 повторные визиты = Direct (не атрибутируются); 🟡 зритель зреет месяцами.,🟢 R16: «Старался обучаться через его видео… очень обрадовался открытию Школы».,прогрев ей НУЖЕН: письма-истории + открытый симпосий/вебинар с АО.,Цепочка «история → открытое событие → оффер» (SMM; событие→оплата %).
P2,8,"заплатить быстро, надёжно, привычным способом.",жмёт «купить» → Circle-чекаут (Stripe); карта РФ не проходит; ретраит; уходит. 🟢,Circle checkout (Stripe); узел /checkout. ШОВ Wix→Circle.,рассрочка критична для €600 — Klarna ✓ решает для EU; РФ-часть аудитории — нет. Остальное = P1.,-2,,Fear (страх) — ДНО,"Большая сумма при семейном бюджете, рассрочки нет. Страх, а не ярость: у Дмитрия здесь отказывает техника, у неё — решимость. Сила та же (дно), лепесток другой.",⭐⭐ MoT №3 — ГЛАВНЫЙ: срыв на оплате. 🟢,🟢 1011 чекаут-людей → 97 подписок School (~10:1); 🟢 failed payment 6% — люди не НАЧИНАЮТ оплату; 🟢 РФ+UA ≈ 44% аудитории.,🟢 ушедшая №1: «Не смогла технически перевести деньги»; «…рассрочка и доступный способ оплаты».,PayPal (UA/диаспора) + отдельный маршрут для РФ + страница «Как оплатить из вашей страны».,⭐⭐ Остаток дыры №1: PayPal + решение РФ. Владелец: Заказчик + Tech. СТАТУС: Klarna ✓ подключена (рассрочка EU); РФ не решена.
P2,9,"начать так, чтобы не надорваться.",логинится в Circle; блуждает; ищет «начало»; смотрит первую лекцию; молчит. 🟢,"Circle (пространства, форум); onboarding-письма (если есть).","«с чего начать, если у меня 3 часа в неделю?»; страх отстать. 🟢",-1,,Submission (доверилась + робеет),"Доверилась и робеет: «с чего начать, если у меня 3 часа в неделю?» Подчинение-принятие со знаком минус — страх отстать с первых недель.",MoT: «меня приняли» — первый личный отклик. 🟡,🔴 Circle — слепая зона GA; 🟢 North Star (модуль 1 + возврат 30 дн) не измеряется.,"🟢 R23: «Трудности находить видеозаписи, конспекты»; 🟢 R22: «Непонятно, как попасть в группу».",траектория «медленный старт»; личное приветствие куратора; buddy.,«Начни здесь» + замер North Star → детали на онбординг-сессии. Владелец: Кураторы + Tech + Аналитика.
P2,10,"держать ритм, видеть прогресс, получать отклик.",смотрит лекции (в записи); конспектирует; читает форум молча.,"Circle: лекции, форум, клубы; Telegram-группы.",ГЛАВНЫЙ риск — темп: работа+семья; «отстала — стыдно возвращаться». 🟢,0,,Interest / Apprehension (качели),"Качели «втянулась ↔ отстаю»: работа и семья сбивают ритм. Ноль — среднее качелей; именно здесь её главный риск оттока («слишком интенсивно», ушедшие №5, №6).",—,🔴 вовлечённость не измеряется системно; 🟢 отток «жизнь/время» = 4 из 8 ушедших — риск живёт здесь.,🟢 ушедшая №5: «Слишком интенсивная программа»; №6: «Более медленный темп».,медленный трек; «догоняющие» окна; малые группы по уровню загрузки.,⭐ Медленный трек (Кураторы; retention 60–90 дн сегмента).
P2,11,собрать из услышанного СВОЁ мировоззрение; проверить себя делом.,пишет первое эссе «Моё мировоззрение»; публикует; получает отклик (или откладывает).,форум Circle; аттестация.,страшно вынести своё на публику; эссе без отклика «повисает». 🟢,2,,Ecstasy (восторг) — пик,"Эссе как акт самопонимания: «не просто письменная работа» (R13). Восторг, центр колеса: ради этого всё и было.",⭐ MoT №5: эссе + ОТКЛИК = точка невозврата (a-ha = действие + отклик). 🟢,🟢 оставшиеся называют эссе поворотом; 🟡 ушедшие уходят ДО эссе (проверяется локатором).,🟢 R13: «В процессе написания эссе я смогла глубже посмотреть на себя… важный этап самопонимания» (её пик).,гарантированный отклик на первое эссе (SLA ≤7 дн); мягкий дедлайн «эссе в первые 60 дней»; «лестница» из 3 мини-шагов.,SLA отклика на первое эссе ≤7 дн (Кураторы; % новичков с эссе за 60 дн; % эссе с откликом ≤7 дн).
P2,12,встроить Школу в жизнь надолго; расти дальше вводного уровня.,продлевает подписку; идёт в клубы; ИЛИ жизнь сжимает → пауза/отписка.,Circle; платёж продления; клубы.,"её отток = «жизнь сжала» (№2, №5, №6, №7 из 8); хочет камерности с АБ (3 из 8). 🟢",1,-1,вилка: Trust / Remorse (сожаление),Вилка: ритм найден — доверие и продление; «отстала — стыдно возвращаться» — сожаление. Это документированный сценарий «жизнь сжала» из опроса ушедших.,вилка «продлить / пауза / уйти».,"🟢 отток (n=8): жизнь=4, деньги=1, темп=1, UX=1, оплата=1; 🟢 8/8 хотят вернуться; 🟢 Polis −75%, Basic −69%.",🟢 ушедший №7: «Я изначально был настроен продолжать»; 🟢 №8: «Вкладка „мой прогресс“… собрать путь как конструктор».,пауза-подписка; «вернись с того места»; камерные встречи с АБ малой группой.,Камерный формат с АБ (АО + Кураторы; retention участников; % пауз вместо отписок).
P2,13,"отдавать; вести своё; быть «архитектором, а не слушателем».",рекомендует «таким же на переломе»; делится историей трансформации.,Circle-роли; внешние площадки.,"путь к роли непрозрачен; титул через 4 года — далеко, промежуточных ролей нет. 🟡",2,,Love (привязанность),"Благодарная привязанность: рекомендует «таким же на переломе», делится историей трансформации — любовь, не просто доверие.","MoT №6: первый СВОЙ вклад (провёл встречу, привёл ученика). 🟡",🔴 рефералы не считаются; 🔴 NPS не замеряется.,🟢 R6: «Ни в коем случае не останавливайтесь — вы нам нужны»; 🟢 R27: «Стал счастливым в этом стремлении».,её истории = «Голоса Полиса» + материал для экзистенциальной двери лендинга.,Программа ролей + учёт рефералов (Кураторы + Аналитика; % учеников с ролью).
P3,1,«перестать быть одна со своими мыслями» в новой стране.,ищет русскоязычные сообщества и лектории; YouTube АО = «голос дома».,YouTube АО (фоном); Instagram школы.,одиночество мысли; местная среда — не про то и не на том языке. 🟢,-1,,Sadness (одиночество),"Одиночество мысли в чужой языковой среде: вход через грусть — не через кризис (P2) и не через интерес (P1, P4).",—,"🟢 ~половина опрошенных — диаспора, 12+ стран.",🟢 R6: «чувствовал ностальгию по Вечному».,"контент-угол «свои на родном языке, где бы вы ни были».",Серия Shorts/Reels под триггеры с UTM. Владелец: SMM. Impact: высокий. Effort: средний. Метрика: охват + CTR в длинную лекцию.
P3,2,понять: «там живые люди — или это курсы?»,видит анонс Школы в видео/описании канала; кликает ссылку из описания. 🟢,"YouTube (описание, анонс в ролике) → www. 🟢","сайт показывает контент и тарифы, а не людей. 🟢",1,,Interest,YouTube АО — «голос дома»: интерес с теплом узнавания. Сразу плюс: доверие к языку и уровню уже есть.,—,"🟢 YouTube — единственный сильный канал: 9,35% визит→подписка (vs ~5%); 🟢 «Элиты»: 3 ссылки без UTM; 🟢 Direct 43–46% не атрибутируется.","🟢 R8: «Будучи подписанным на канал несколько лет, я с большим интересом воспринял новость об открытии школы».",1 видео = 1 ссылка с UTM на посадочную www (не в Circle); анонс-связка «ролик → страница темы».,UTM-дисциплина всех ссылок канала. Владелец: SMM. Impact: высокий. Effort: низкий. Метрика: доля размеченных сессий; % Direct ↓. СТАТУС: в работе ✓
P3,3,"за 2 минуты понять, «что здесь есть и что из этого — моё».",сканирует главную; открывает «Школа»/«курсы»; уходит «подумать» (мульти-визит). 🟢,"www: главная, страницы продуктов; мобильный. 🟢",сущностей много — «карта города» не считывается; сайт грузится медленно; нет «начни здесь». 🟢,1,,Anticipation,"Ищет на сайте не программу, а людей: предвкушение среды, надежда найти своих.",—,"🟢 LCP 5,7 с; dead clicks 8%; 95% визитов — без клика на подписку.","🟢 R22: «Кто-то же должен сделать всё как надо! Когда увидел Школу — понял, именно этого я искал».",карта продуктов «город» на одном экране; квиз «с чего начать»; ускорение загрузки.,"1) Перф-аудит Wix (Тарас; LCP < 2,5 с). 2) Квиз-роутер (Дизайн+Tech; % прошедших; CTR в дверь). СТАТУС: квиз = ФОКУС, концепты готовы."
P3,4,выбрать дверь в СРЕДУ.,смотрит Полис €50 (не School!).,"/course, тарифы, /samopoznanie. 🟢",«кто там? как часто встречи? в моём часовом поясе?» — страница не отвечает. 🟢,0,,Pensiveness,"Страница Полиса не отвечает: «кто там? как часто встречи? в моём часовом поясе?» Задумчивость — нейтральная пауза: оффер не отвергнут, но и не подтверждён.",MoT: «там есть МОИ». 🟡,🟢 Полис ≈ 50 покупок vs School 350; дверь −75%.,🟢 ушедшая №1: «Мне очень понравилась программа…» (интерес есть — ломается дальше).,"страница Полиса = витрина среды: календарь живых встреч, лица, «как проходит вечер», голоса.",⭐ Редизайн /polis под среду (Дизайн; конверсия /polis).
P3,5,"убедиться: «это серьёзно, мне подойдёт, я потяну».",перечитывает программу; ищет отзывы и «как внутри»; прикидывает время/деньги; откладывает.,"www, отзывы, соцдоказательства.",«приду — и буду опять одна среди чужих?» 🟡,-1,,Apprehension,«Приду — и буду опять одна среди чужих?» Опасение повторить эмигрантский опыт уже внутри школы.,MoT №2: «решаюсь / откладываю» — сейчас чаще «отложил и остыл». 🟡,🟢 мульти-визиты до покупки; 🔴 причины откладывания не измеряются.,🟢 R4: «Переслушивала снова и снова… очень хотела понять».,«Голоса Полиса» (концепт есть 🟢); открытый квартальный симпосий как «пробник» среды.,Цепочка «открытый симпосий → Полис» (SMM + Модераторы; событие→оплата %).
P3,6,"попробовать без риска; оставить контакт, «не продавая душу».",жмёт «подписаться»; начинает форму; бросает на середине. 🟢,форма Wix; переход в Circle-регистрацию.,форма длинная/казённая; регистрация в незнакомой Circle ДО понимания ценности. 🟢,-1,,Annoyance,Формы и PDF-магниты — не её вход: ей нужно живое событие. Досада на несоответствие формата мотиву.,—,🟢 form_start 529 → submit 41 (−92%); 🟢 лид-магнита нет (download 37); 🟢 «Элиты»: логин-стена отсекает новых.,🟢 ушедшая №4: «Не понравилась организация сайта и доступа к курсу».,лид-магнит для неё = приглашение на живое открытое событие (не PDF).,⭐ ФОКУС: квиз + email-захват (концепты 3×2 + ТЗ S1 готовы). Владелец: Заказчик (выбор) + Дизайн + Tech + SMM. Метрика: form CR 8% → 30%+.
P3,7,"дозреть в своём темпе, не потеряв интереса.",смотрит новые видео АО; изредка возвращается; ждёт «знака».,YouTube; email (почти пусто); повторные Direct-заходы.,между визитами Школа молчит — интерес остывает. 🟡,0,,Distraction,"Без приглашения на открытую встречу внимание рассеивается: ни обиды, ни интереса — рассеяние.",—,🟢 email-цепочки нет; 🟢 повторные визиты = Direct (не атрибутируются); 🟡 зритель зреет месяцами.,🟢 R16: «Старался обучаться через его видео… очень обрадовался открытию Школы».,welcome-цепочка 3–5 писем по мотиву из квиза; дайджест «что было в Полисе».,Welcome-серия (SMM; open rate; лид→оплата %). Появится вместе с квизом.
